title,company,location,link,link_hash,source,description,salary_range,job_type,work_auth,employment_type,job_status,search_keyword
Senior Software Engineer,Vectra,"Dublin, Ireland",https://boards.greenhouse.io/vectranetworks/jobs/7953663,28dde4344229dfee545c45aba79d2a4dcade2c966e3fb86779ab57d676005c88,khosla_jobs,,,,,On-site,active,software engineer
"Principal Software Engineer, Ads",DoorDash,"San Francisco, CA, USA, Sunnyvale, CA, USA, New York, NY, USA",https://careersatdoordash.com/jobs/principal-software-engineer-ads/7947255,1044578a1d8bb23f0d0d22ed0d37573452255c600e14eaf5f2b9257ef819fc51,khosla_jobs,,,,,On-site,active,software engineer
Software Engineer,ThoughtSpot,"Mountain View, CA, USA",https://www.linkedin.com/jobs/view/software-engineer-at-thoughtspot-4418241301,5494ec18bee478733976b95da4dc8286853c6aabaef0044e6a54940f25062737,khosla_jobs,,USD 100000.0-120000.0/year,,,On-site,active,software engineer
Sr. Software Engineer - Agentic AI,Volterra,"Bengaluru, Karnataka, India",https://ffive.wd5.myworkdayjobs.com/f5jobs/job/Bangalore-Non-SEZ/Sr-Software-Engineer---Agentic-AI_RP1037436-1,4a9405102be35c0e301fa2e026423ec3001cf2ea3831994e27723b8c09f9455f,khosla_jobs,,,,,On-site,active,software engineer
Software Engineer - Python Full Stack,Cape Analytics,,https://careers.moodys.com/en/job/bengaluru/software-engineer-python-full-stack/49841/95613193232,e7b48541c8bb931592a6977c9e660a71690a916d9c43acd01a5cdd07c9f39d80,khosla_jobs,,,,,On-site,active,software engineer
Staff Software Engineer - Python,Cape Analytics,,https://careers.moodys.com/en/job/bengaluru/staff-software-engineer-python/49841/95575145024,edeee9ca0412e9e3f5c5e8a2cd6e30d453e15842a74ce279a3198f027f482c32,khosla_jobs,,,,,On-site,active,software engineer
Software Engineer,Cape Analytics,,https://careers.moodys.com/en/job/heredia/software-engineer/49841/95607754208,f98cb55437dbdaddbe7ddd9b95d0b16a8981dc152e9432f3ef5e094901f7dc11,khosla_jobs,,,,,On-site,active,software engineer
Software Engineer II - MES,Rocket Lab,"Albuquerque, NM, USA",https://boards.greenhouse.io/rocketlab/jobs/7738610003,52e35e97422d8ea2b26a7b11da44edb043b77ff6217db8d7cba895e517e0d155,khosla_jobs,,,,,On-site,active,software engineer
Senior Software Engineer I,Rocket Lab,"Albuquerque, NM, USA",https://boards.greenhouse.io/rocketlab/jobs/7737069003,a0137d706ddde5af2359ce61fa3b117e7fd7977537f47172ed25997c541720e3,khosla_jobs,,,,,On-site,active,software engineer
"Software Engineer II, Backend (Repayment UX)",Affirm,"Spain, Remote",https://boards.greenhouse.io/affirm/jobs/7748356003,ad8a7a261ec0dc46c53900e2b0191cac7fc9f4038732a80a3bb6b343b9d4002c,khosla_jobs,,EUR 71000.0-101000.0/year,,,Remote,active,software engineer
"Software Engineer II, Backend (Repayment UX)",Affirm,"Poland, Remote",https://boards.greenhouse.io/affirm/jobs/7746922003,7a1478007f6111323c66a62672bc3767b9a93a4b92b254324d07e209eca40e73,khosla_jobs,,,,,Remote,active,software engineer
"Full-Stack Software Engineer, Compute Foundations",OpenAI,"San Francisco, CA, USA",https://jobs.ashbyhq.com/openai/1312f55e-ff56-4dab-9bf7-a91e2c157572,288b5321de29131591fd5313621e95d8dce58eaa4a1615cd3f156ca417f996b8,khosla_jobs,,USD 230000.0-347000.0/year,,,On-site,active,software engineer
"Software Engineer, Ad Formats",OpenAI,"San Francisco, CA, USA",https://jobs.ashbyhq.com/openai/0b212a4a-6709-4da8-b59d-283a9bbf812e,75a4869d55ec5a2f4973dce1d90f186d621fc823b113330a0da2c61b1d427cef,khosla_jobs,,USD 230000.0-385000.0/year,,,On-site,active,software engineer
"Software Engineer, Ads Manager",OpenAI,"Seattle, WA, USA",https://jobs.ashbyhq.com/openai/5a4eed17-29d5-41cb-856e-09bfdaffe017,862a4ee31663322d91fe64028a2c5aa49d86afbe768c80b8883c3f1431cc0e6e,khosla_jobs,,USD 230000.0-385000.0/year,,,On-site,active,software engineer
"Senior Software Engineer, Java Backend",Okta,"Bengaluru, Karnataka, India",https://boards.greenhouse.io/okta/jobs/7957614,933146ea5d62aba5ec5ee230bd0cf10d90eeac7c003fa9f7f7134c8db285c99e,khosla_jobs,,,,,On-site,active,software engineer
Senior Software Engineer - Sales Technology,Okta,Poland,https://boards.greenhouse.io/okta/jobs/7946586,1d365742737371052e2cc659b57060850fe39870fd2a47037c82c2b5c7ebe5e9,khosla_jobs,,,,,On-site,active,software engineer
Senior Software Engineer - Partner Integrations and Origination Platform,Upstart,"United States, Remote",https://boards.greenhouse.io/upstart/jobs/7957643,cd26d18362f21e152557f199019b04b97fa4f0c99b184e080ce5b2d84888c655,khosla_jobs,,USD 166900.0-230900.0/year,,,Remote,active,software engineer
"Senior Software Engineer, Trust & Safety",Replit,"Foster City, CA, USA",https://jobs.ashbyhq.com/replit/75477d6d-82e2-413c-b355-ec9426e56555,ac7f1950d9329dded994fe689d2cd508444b0cf8cd3a10142443e8bc325a85a8,khosla_jobs,,USD 210000.0-265000.0/year,,,On-site,active,software engineer
"Staff Software Engineer, Risk",Replit,"Foster City, CA, USA",https://jobs.ashbyhq.com/replit/76aebfe2-f481-4463-9650-1bdaffaeb24d,f61193451dda9dc4077e730d58a80afd03eec8cafd65a8f5bf4b7e753ed8757f,khosla_jobs,,USD 250000.0-315000.0/year,,,On-site,active,software engineer
"Staff Software Engineer, Trust & Safety",Replit,"Foster City, CA, USA",https://jobs.ashbyhq.com/replit/bd27a146-a100-4eef-80b5-f24a7ddff344,4da29cd2e132033e6ab4a91b4064262d84fb648c93dad0b9656f66494f362abb,khosla_jobs,,USD 250000.0-315000.0/year,,,On-site,active,software engineer
"Senior Software Engineer, Fraud",Replit,"Foster City, CA, USA",https://jobs.ashbyhq.com/replit/649b284a-75c3-4d58-9958-4db2740e6f8d,e805c02ed25f759a3b12875b03794c3abb7f13c61a55ede53b7ec98cdaf72632,khosla_jobs,,USD 210000.0-265000.0/year,,,On-site,active,software engineer
"Staff Software Engineer, Fraud",Replit,"Foster City, CA, USA",https://jobs.ashbyhq.com/replit/27618f18-d516-42c0-a321-592f18606431,640a5fe72540624a8e224ed5ce852d41ab349e950cf73e9245d7e2c16b87b8d7,khosla_jobs,,USD 250000.0-315000.0/year,,,On-site,active,software engineer
"Senior Software Engineer, Risk",Replit,"Foster City, CA, USA",https://jobs.ashbyhq.com/replit/3a657901-8b8e-47cd-a122-e45881eef124,3bc971037fa5c2ed9dcd6bcc6448c97d17cc62eb9cbd5e934fba10ea2c9d2b66,khosla_jobs,,USD 210000.0-265000.0/year,,,On-site,active,software engineer
"Senior Software Engineer, Platforms - Sydney",Arista Networks,"Sydney, NSW, Australia",https://jobs.smartrecruiters.com/AristaNetworks/744000128683773,93765c436fa649f4a0c71aa2c03048986ce190ea1c624c37d74cd18563ca82c7,khosla_jobs,,,,,On-site,active,software engineer
"Senior Software Engineer, EOS - Sydney",Arista Networks,"Sydney, NSW, Australia",https://jobs.smartrecruiters.com/AristaNetworks/744000128686310,a609356df7dbb283f800e738ce416c44f067f236e031257584b81c5b6b9d242a,khosla_jobs,,,,,On-site,active,software engineer
"Senior Software Engineer II AI-Native, backend Growth",Tile,"United States, Canada, Remote",https://boards.greenhouse.io/life360/jobs/8564809002,1d9b850349888483cf6af7eac824242d4bba44e96d592dfe656c189189920999,khosla_jobs,,USD 148000.0-216000.0/year,,,Remote,active,software engineer
Senior Software Engineer I,Rocket Lab,"Albuquerque, NM, USA",https://rocketlabcorp.com/careers/positions/senior-software-engineer-i-albuquerque-nm-7737069003/,832bed868f0489c64b107840d1513f3a03742d86b2c150a1719803890456647e,khosla_jobs,,,,,On-site,active,software engineer
Software Engineer II - MES,Rocket Lab,"Albuquerque, NM, USA",https://rocketlabcorp.com/careers/positions/software-engineer-ii-mes-albuquerque-nm-7738610003/,b72d6c08f05a1324afe08ba8f2cecd34f8f2e5fa299196100aef8e993f436e1c,khosla_jobs,,,,,On-site,active,software engineer
"Software Engineer (Backend), Content Foundations",Scribd,"San Francisco, CA, USA, Portland, OR, USA, Washington, USA, Austin, TX, USA, Houston, TX, USA, Toronto, ON, Canada, Phoenix, AZ, USA, Miami, FL, USA, Mexico City, Mexico, San Diego, CA, USA, Jacksonville, FL, USA, Sacramento, CA, USA, Vancouver, BC, Canada, Ottawa, ON, Canada, Los Angeles, CA, USA, New York, NY, USA, Salt Lake City, UT, USA, Boston, MA, USA, Denver, CO, USA, Chicago, IL, USA, Seattle, WA, USA, Dallas, TX, USA, Atlanta, GA, USA, Multiple locations",https://jobs.ashbyhq.com/ScribdInc/35fdbec7-a3b1-41bc-9f35-e3fb720c6d63,8884168943d9c356885769761887a17a405f1fc464d7cd57e7f362b711787aec,khosla_jobs,,USD 126000.0-196000.0/year,,,On-site,active,software engineer
Software Engineer - Backend,Opendoor,,https://www.opendoor.com/careers/open-positions/jobs/software-engineer-backend-f5f9ce42-406a-4970-86c5-ce1e511108b1,d5c1cb5044523c109a567c2bd9b2de350c38c54fbb8952c9474336726b518cc0,khosla_jobs,,,,,On-site,active,software engineer
Software Engineer - Backend ML Pricing,Opendoor,,https://www.opendoor.com/careers/open-positions/jobs/software-engineer-backend-ml-pricing-1eaff2f7-2acd-4568-8afb-784d01a79939,dd6046693c55d472a68c568a770b62bccd6ed8ddc49cef24544487608633bb0d,khosla_jobs,,,,,On-site,active,software engineer
"Software Engineer, Pricing MLOps",Opendoor,,https://www.opendoor.com/careers/open-positions/jobs/software-engineer-pricing-mlops-41d20db3-adae-4c3f-ad9d-e4c99edcaf77,f87cd31abf6859801290a4c33d9508b73ac872eb93cf0cc88b95b494d81b3d4b,khosla_jobs,,,,,On-site,active,software engineer
Software Engineer - Backend ML Pricing,Opendoor,,https://www.opendoor.com/careers/open-positions/jobs/software-engineer-backend-ml-pricing-f662b50c-cda8-4bce-84f6-336ee50958e5,0004a0ea65f94b190f466fe76c783a166409ed39ff3672880bae0217675f7661,khosla_jobs,,,,,On-site,active,software engineer
Software Engineer,Opendoor,,https://www.opendoor.com/careers/open-positions/jobs/software-engineer-b0be8a7b-d134-4465-9312-8857e303273e,4aeec91ffe78374586f084d24c2f14597b410410e0e2d8889e804186dfd2c4a4,khosla_jobs,,USD 247000.0-339900.0/year,,,On-site,active,software engineer
"Software Engineer, Pricing MLOps",Opendoor,,https://www.opendoor.com/careers/open-positions/jobs/software-engineer-pricing-mlops-71960519-a080-412b-8788-c134ba3a27ae,7749a0043bdf059172c70d3d143ef6be595896c4d307ac884c0713e0c0dabc3a,khosla_jobs,,,,,On-site,active,software engineer
Software Engineer | Private Cloud Systems,SingleStore,India,https://boards.greenhouse.io/singlestore/jobs/7534083,70ad9c293df32e81765c9302e5ab027b2bd68394223dae57af09373513cb3aaf,khosla_jobs,,,,,On-site,active,software engineer
Senior Software Engineer | Aura Platform,SingleStore,Portugal,https://boards.greenhouse.io/singlestore/jobs/7956622,6b3adb5adb96e378ae76d48101df40cd6c5dc796da8fcd4045caab16ff3492a8,khosla_jobs,,,,,On-site,active,software engineer
Staff Software Engineer (Generalist),Traba,"San Francisco, CA, USA, New York, NY, USA",https://jobs.ashbyhq.com/traba/f2967915-934d-43b5-b31e-edc575197d57,c484afdea36cc025f859a4c8004f12a460a789b790100f15d818991e46730a4b,khosla_jobs,,USD 240000.0-300000.0/year,,,On-site,active,software engineer
Staff Software Engineer (AI Agents),Traba,"San Francisco, CA, USA, New York, NY, USA",https://jobs.ashbyhq.com/traba/515a639c-cea8-4fef-a59f-cc6e0ea4a7cb,f61a669e981541b7a006d5bdea1ecce2aefa8560a5b86044002e6d4741e090ad,khosla_jobs,,USD 240000.0-300000.0/year,,,On-site,active,software engineer
Senior Software Engineer (AI Agents),Traba,"San Francisco, CA, USA, New York, NY, USA",https://jobs.ashbyhq.com/traba/be334dd3-ede8-4737-81fe-a937791880c6,500e8f147a8ad90b9e9bca53bc192198137b84551f4a4323f24f4cfd9bd9f8cc,khosla_jobs,,USD 200000.0-240000.0/year,,,On-site,active,software engineer
Software Engineer (Generalist),Traba,"New York, NY, USA",https://jobs.ashbyhq.com/traba/cae225b4-79fc-482e-8d3a-935d63e00c82,37319649251edd5429125278d14e145dad2d39870bdf328ec700e74ba8a2609a,khosla_jobs,,USD 140000.0-200000.0/year,,,On-site,active,software engineer
Senior Software Engineer (Generalist),Traba,"San Francisco, CA, USA, New York, NY, USA",https://jobs.ashbyhq.com/traba/fca99734-b011-40cf-97d8-c9266dd29e64,2f54569f02d2e084457ef5bdcaa677f3ea85166da53785b585a45c495b15be53,khosla_jobs,,USD 200000.0-240000.0/year,,,On-site,active,software engineer
Software Engineer Backend Developer,Cape Analytics,,https://careers.moodys.com/en/job/noida/software-engineer-backend-developer/49841/95290309984,632ce505c68c904bc21c79224a5f31258008d3a095fa327b30c35f28726bd9c9,khosla_jobs,,INR 1823100.0-3053700.0/year,,,On-site,active,software engineer
Senior Software Engineer - Python Full Stack,Cape Analytics,,https://careers.moodys.com/en/job/bengaluru/senior-software-engineer-python-full-stack/49841/95575145040,ace18540f88bdcfeebc3ae2dc6a0fd4c5fa35edbaea9288e468bb9bb730779bf,khosla_jobs,,,,,On-site,active,software engineer
Senior Software Engineer,Cape Analytics,,https://careers.moodys.com/en/job/bengaluru/senior-software-engineer/49841/95239879776,31ce20c3c8c75a752f59e629fc15767486aaaf02fb945711a2cebc272757370f,khosla_jobs,,,,,On-site,active,software engineer
